Gyr, 16.873, -0.16, -0.17, -0.00
Acc, 16.877, -0.37, 1.84, 9.35
Gyr, 16.883, -0.16, -0.18, -0.00
Gyr, 16.901, -0.16, -0.20, 0.00
Acc, 16.906, -0.36, 1.86, 8.86
Gyr, 16.912, -0.18, -0.22, 0.00
Gyr, 16.916, -0.19, -0.23, -0.00
Acc, 16.919, -0.43, 1.99, 8.58
Gyr, 16.922, -0.23, -0.24, -0.01
Gyr, 16.926, -0.32, -0.24, -0.00
Acc, 16.928, -0.17, 2.05, 8.42
Gyr, 16.931, -0.43, -0.24, 0.01
Gyr, 16.948, -0.57, -0.26, 0.01
Acc, 16.956, 0.04, 2.09, 8.73
Gyr, 16.960, -0.77, -0.27, 0.03
Gyr, 16.964, -0.96, -0.29, 0.10
Acc, 16.968, 0.09, 3.41, 10.96
Gyr, 16.971, -0.92, -0.32, 0.13
Gyr, 16.981, -0.44, -0.41, 0.02
Acc, 16.986, -0.35, 0.38, 11.32
Gyr, 16.989, 0.03, -0.48, -0.09
Gyr, 16.992, -0.24, -0.42, -0.17
Acc, 16.998, 0.00, -1.76, 4.85
Gyr, 17.012, -0.69, -0.18, -0.05
Gyr, 17.017, -0.73, -0.04, 0.06
Acc, 17.024, 0.48, 8.62, 14.81
Gyr, 17.032, -0.62, 0.08, -0.12
Gyr, 17.043, -0.34, 0.13, -0.05
Acc, 17.047, 2.94, 1.08, 15.96
Gyr, 17.049, -0.00, 0.11, -0.02
Gyr, 17.059, 0.15, 0.11, -0.11
Acc, 17.070, -0.27, -2.37, 14.52
Gyr, 17.078, 0.17, 0.13, -0.03
Gyr, 17.083, 0.16, 0.14, 0.04
Acc, 17.087, -0.27, -2.37, 14.52
Gyr, 17.093, 0.15, 0.12, 0.07
Gyr, 17.098, 0.16, 0.10, 0.09
Acc, 17.107, -0.27, -2.37, 14.52
Gyr, 17.111, 0.17, 0.07, 0.10
Gyr, 17.115, 0.19, 0.03, 0.11
Acc, 17.126, -0.00, -0.82, 11.74
Gyr, 17.140, 0.20, 0.00, 0.11
Gyr, 17.167, 0.20, -0.02, 0.11
Acc, 17.172, -0.55, 0.63, 8.79
Gyr, 17.177, 0.20, -0.04, 0.12
Gyr, 17.180, 0.20, -0.05, 0.11
Acc, 17.183, 0.03, 1.40, 8.66
Gyr, 17.187, 0.21, -0.06, 0.10
Gyr, 17.189, 0.20, -0.06, 0.10
Acc, 17.192, 0.49, 1.58, 9.26
Gyr, 17.196, 0.18, -0.06, 0.09
Gyr, 17.201, 0.15, -0.05, 0.07
Gyr, 17.207, 0.16, -0.05, 0.07
Acc, 17.210, 0.71, 1.70, 9.61
Gyr, 17.212, 0.16, -0.05, 0.05
Gyr, 17.218, 0.16, -0.05, 0.04
Acc, 17.223, 0.66, 1.52, 9.58
Gyr, 17.231, 0.15, -0.04, 0.04
Gyr, 17.244, 0.14, -0.04, 0.03
Acc, 17.249, 0.36, 1.47, 9.43
Gyr, 17.253, 0.10, -0.03, 0.01
Gyr, 17.260, 0.06, -0.03, 0.01
Acc, 17.265, 0.36, 1.47, 9.43
Gyr, 17.278, 0.03, -0.03, 0.01
Gyr, 17.285, 0.01, -0.02, 0.00
Acc, 17.290, 0.36, 1.47, 9.43
Gyr, 17.296, 0.00, -0.02, 0.01
Gyr, 17.300, -0.00, -0.01, 0.02
Acc, 17.303, 0.36, 1.47, 9.43
Gyr, 17.306, -0.00, -0.00, 0.02
Gyr, 17.318, 0.01, 0.00, 0.01
Acc, 17.323, 0.38, 1.19, 9.55
Gyr, 17.333, 0.03, 0.00, 0.01
Gyr, 17.337, 0.05, 0.00, 0.01
Acc, 17.340, 0.25, 1.16, 9.75
Gyr, 17.345, 0.06, 0.00, 0.00
Gyr, 17.353, 0.05, 0.01, 0.01
Acc, 17.360, 0.38, 0.99, 10.05
Gyr, 17.369, 0.03, 0.01, 0.02
Gyr, 17.377, 0.03, 0.01, 0.02
Acc, 17.386, 0.35, 1.27, 9.61
Gyr, 17.394, 0.01, 0.01, 0.01
Gyr, 17.403, -0.02, 0.02, 0.01
Acc, 17.409, 0.21, 1.31, 9.63
Gyr, 17.419, -0.05, 0.02, 0.01
Gyr, 17.431, -0.04, 0.02, 0.00
Acc, 17.437, 0.24, 1.42, 9.77
Gyr, 17.463, -0.01, 0.01, -0.00
Gyr, 17.467, 0.04, 0.00, -0.01
Acc, 17.470, 0.29, 1.07, 9.73
Gyr, 17.473, 0.07, -0.00, -0.01
Gyr, 17.476, 0.07, -0.01, -0.00
Acc, 17.480, 0.29, 1.07, 9.73
Gyr, 17.486, 0.06, -0.01, 0.00
Gyr, 17.489, 0.03, -0.00, 0.01
Acc, 17.502, 0.46, 1.43, 9.78
Gyr, 17.506, -0.00, -0.00, 0.01
Gyr, 17.509, -0.03, -0.01, 0.00
Acc, 17.516, 0.32, 1.38, 9.96
Gyr, 17.521, -0.04, -0.00, 0.01
Gyr, 17.525, -0.01, 0.00, 0.02
Acc, 17.534, 0.33, 1.14, 10.17
Gyr, 17.538, 0.05, -0.00, 0.02
Gyr, 17.552, 0.09, -0.01, 0.02
Acc, 17.555, 0.13, 0.81, 9.87
Gyr, 17.558, 0.10, -0.01, 0.02
Gyr, 17.569, 0.09, -0.01, 0.03
Acc, 17.573, 0.13, 0.81, 9.87
Gyr, 17.576, 0.05, -0.01, 0.03
Gyr, 17.589, 0.02, -0.01, 0.03
Acc, 17.593, 0.22, 1.08, 9.65
Gyr, 17.600, -0.01, 0.00, 0.03
Gyr, 17.608, -0.02, 0.00, 0.02
Acc, 17.617, 0.23, 1.54, 9.98
Gyr, 17.627, -0.04, 0.01, 0.02
Gyr, 17.631, -0.02, 0.01, 0.02
Acc, 17.639, 0.32, 1.53, 9.92
Gyr, 17.645, 0.02, 0.01, 0.01
Gyr, 17.654, 0.04, 0.00, 0.01
Acc, 17.659, 0.30, 1.10, 9.66
Gyr, 17.663, 0.05, 0.00, 0.01
Gyr, 17.667, 0.06, 0.00, 0.02
Acc, 17.672, 0.30, 1.10, 9.66
Gyr, 17.675, 0.06, -0.00, 0.02
Gyr, 17.678, 0.04, -0.00, 0.02
Acc, 17.686, 0.33, 1.45, 9.96
Gyr, 17.692, 0.02, 0.00, 0.01
Gyr, 17.695, 0.01, 0.01, 0.00
Acc, 17.706, 0.29, 1.60, 9.73
Gyr, 17.713, 0.03, 0.01, 0.00
Gyr, 17.717, 0.06, -0.01, -0.01
Acc, 17.732, 0.20, 1.36, 9.43
Gyr, 17.738, 0.06, -0.02, -0.01
Gyr, 17.742, 0.05, -0.02, -0.01
Gyr, 17.745, 0.04, -0.03, -0.01
Acc, 17.748, 0.20, 1.36, 9.43
Gyr, 17.754, 0.04, -0.03, -0.01
Gyr, 17.762, 0.05, -0.03, -0.01
Acc, 17.765, 0.20, 1.36, 9.43
Gyr, 17.773, 0.04, -0.04, -0.01
Gyr, 17.780, 0.01, -0.03, -0.01
Acc, 17.792, 0.20, 1.36, 9.43
Gyr, 17.797, -0.01, -0.03, 0.00
Gyr, 17.806, -0.01, -0.03, 0.00
Acc, 17.815, 0.20, 1.36, 9.43
Gyr, 17.823, 0.01, -0.03, 0.00
Gyr, 17.847, 0.02, -0.04, 0.00
