Gyr, 4.883, -0.14, -0.24, -0.66
Acc, 4.885, 0.95, 1.69, 10.76
Gyr, 4.888, -0.31, -0.19, -0.62
Gyr, 4.891, -0.43, -0.15, -0.60
Gyr, 4.894, -0.47, -0.11, -0.58
Acc, 4.896, 0.95, 1.69, 10.76
Gyr, 4.898, -0.43, -0.09, -0.55
Gyr, 4.901, -0.37, -0.09, -0.53
Acc, 4.903, 0.59, 0.67, 11.93
Gyr, 4.906, -0.32, -0.08, -0.51
Gyr, 4.909, -0.29, -0.07, -0.48
Acc, 4.912, 0.30, 0.51, 11.26
Gyr, 4.914, -0.27, -0.07, -0.46
Gyr, 4.917, -0.25, -0.07, -0.43
Acc, 4.919, -0.14, 1.12, 10.42
Gyr, 4.922, -0.20, -0.06, -0.41
Gyr, 4.925, -0.16, -0.07, -0.38
Acc, 4.928, -0.45, 1.17, 10.27
Gyr, 4.931, -0.12, -0.07, -0.36
Gyr, 4.935, -0.12, -0.06, -0.34
Acc, 4.937, -0.41, 1.05, 10.53
Gyr, 4.941, -0.14, -0.05, -0.31
Gyr, 4.945, -0.16, -0.04, -0.29
Acc, 4.948, -0.48, 1.71, 10.19
Gyr, 4.955, -0.17, -0.04, -0.27
Gyr, 4.959, -0.17, -0.04, -0.26
Acc, 4.963, -0.85, 1.66, 9.88
Gyr, 4.967, -0.12, -0.03, -0.25
Gyr, 4.971, -0.05, -0.02, -0.24
Acc, 4.976, -0.40, 1.15, 10.07
Gyr, 4.980, 0.03, -0.02, -0.24
Gyr, 4.987, 0.05, -0.02, -0.24
Gyr, 4.992, 0.01, -0.02, -0.23
Acc, 4.996, -0.00, 0.55, 10.02
Gyr, 5.001, -0.05, -0.01, -0.21
Gyr, 5.004, -0.10, -0.02, -0.19
Acc, 5.007, -0.11, 1.26, 9.58
Gyr, 5.010, -0.14, -0.02, -0.18
Gyr, 5.014, -0.15, -0.03, -0.16
Acc, 5.017, 0.08, 1.32, 9.44
Gyr, 5.020, -0.17, -0.03, -0.15
Gyr, 5.023, -0.17, -0.03, -0.14
Acc, 5.030, 0.06, 1.01, 9.40
Gyr, 5.036, -0.14, -0.04, -0.11
Gyr, 5.041, -0.10, -0.06, -0.09
Acc, 5.047, 0.08, 1.06, 9.78
Gyr, 5.053, -0.06, -0.07, -0.08
Gyr, 5.058, -0.06, -0.07, -0.06
Acc, 5.063, 0.07, 0.77, 10.02
Gyr, 5.067, -0.05, -0.06, -0.05
Gyr, 5.072, -0.03, -0.06, -0.03
Acc, 5.076, 0.02, 1.16, 9.77
Gyr, 5.081, -0.00, -0.07, -0.02
Gyr, 5.085, 0.03, -0.08, -0.02
Acc, 5.090, 0.02, 1.16, 9.77
Gyr, 5.094, 0.05, -0.09, -0.01
Gyr, 5.098, 0.04, -0.09, -0.00
Acc, 5.103, 0.02, 1.16, 9.77
Gyr, 5.107, 0.01, -0.08, 0.00
Gyr, 5.111, -0.04, -0.07, 0.01
Acc, 5.115, 0.02, 1.16, 9.77
Gyr, 5.119, -0.08, -0.06, 0.02
Gyr, 5.124, -0.11, -0.07, 0.02
Acc, 5.129, -0.20, 1.43, 9.60
Gyr, 5.134, -0.12, -0.08, 0.03
Gyr, 5.137, -0.13, -0.08, 0.03
Acc, 5.142, -0.23, 1.89, 9.69
Gyr, 5.148, -0.13, -0.09, 0.04
Gyr, 5.154, -0.12, -0.09, 0.04
Acc, 5.159, -0.07, 1.78, 9.52
Gyr, 5.164, -0.10, -0.11, 0.04
Gyr, 5.169, -0.09, -0.12, 0.04
Acc, 5.173, -0.26, 1.79, 9.09
Gyr, 5.177, -0.08, -0.13, 0.04
Gyr, 5.182, -0.06, -0.14, 0.04
Acc, 5.186, 0.04, 1.73, 9.14
Gyr, 5.191, -0.02, -0.16, 0.03
Gyr, 5.195, 0.01, -0.18, 0.03
Acc, 5.200, 0.04, 1.73, 9.14
Gyr, 5.205, -0.01, -0.20, 0.03
Gyr, 5.209, -0.09, -0.21, 0.04
